title;season;episode;title;release
Game of Thrones;1;1;Winter Is Coming;17.04.11
Game of Thrones;1;2;The Kingsroad;24.04.11
Game of Thrones;1;3;Lord Snow;01.05.11
Game of Thrones;1;4;Cripples, Bastards, and Broken Things;08.05.11
Game of Thrones;1;5;The Wolf and the Lion;15.05.11
Game of Thrones;1;6;A Golden Crown;22.05.11
Game of Thrones;1;7;You Win or You Die;29.05.11
Game of Thrones;1;8;The Pointy End;05.06.11
Game of Thrones;1;9;Baelor;12.06.11
Game of Thrones;1;10;Fire and Blood;19.06.11
Game of Thrones;2;1;The North Remembers;01.04.12
Game of Thrones;2;2;The Night Lands;08.04.12
Game of Thrones;2;3;What Is Dead May Never Die;15.04.12
Game of Thrones;2;4;Garden of Bones;22.04.12
Game of Thrones;2;5;The Ghost of Harrenhal;29.04.12
Game of Thrones;2;6;The Old Gods and the New;06.05.12
Game of Thrones;2;7;A Man Without Honor;13.05.12
Game of Thrones;2;8;The Prince of Winterfell;20.05.12
Game of Thrones;2;9;Blackwater;27.05.12
Game of Thrones;2;10;Valar Morghulis;03.06.12
Game of Thrones;3;1;Valar Dohaeris;31.03.13
Game of Thrones;3;2;Dark Wings, Dark Words;07.04.13
Game of Thrones;3;3;Walk of Punishment;14.04.13
Game of Thrones;3;4;And Now His Watch Is Ended;21.04.13
Game of Thrones;3;5;Kissed by Fire;28.04.13
Game of Thrones;3;6;The Climb;05.05.13
Game of Thrones;3;7;The Bear and the Maiden Fair;12.05.13
Game of Thrones;3;8;Second Sons;19.05.13
Game of Thrones;3;9;The Rains of Castamere;02.06.13
Game of Thrones;3;10;Mhysa;09.06.13
Game of Thrones;4;1;Two Swords;06.04.14
Game of Thrones;4;2;The Lion and the Rose;13.04.14
Game of Thrones;4;3;Breaker of Chains;20.04.14
Game of Thrones;4;4;Oathkeeper;27.04.14
Game of Thrones;4;5;First of His Name;04.05.14
Game of Thrones;4;6;The Laws of Gods and Men;11.05.14
Game of Thrones;4;7;Mockingbird;18.05.14
Game of Thrones;4;8;The Mountain and the Viper;01.06.14
Game of Thrones;4;9;The Watchers on the Wall;08.06.14
Game of Thrones;4;10;The Children;15.06.14
Game of Thrones;5;1;The Wars to Come;12.04.15
Game of Thrones;5;2;The House of Black and White;19.04.15
Game of Thrones;5;3;High Sparrow;26.04.15
Game of Thrones;5;4;Sons of the Harpy;03.05.15
Game of Thrones;5;5;Kill the Boy;10.05.15
Game of Thrones;5;6;Unbowed, Unbent, Unbroken;17.05.15
Game of Thrones;5;7;The Gift;24.05.15
Game of Thrones;5;8;Hardhome;31.05.15
Game of Thrones;5;9;The Dance of Dragons;07.06.15
Game of Thrones;5;10;Motherâ€™s Mercy;14.06.15
Game of Thrones;6;1;The Red Woman;24.04.16
Game of Thrones;6;2;Home;01.05.16
Game of Thrones;6;3;Oathbreaker;08.05.16
Game of Thrones;6;4;Book of the Stranger;15.05.16
Game of Thrones;6;5;The Door;22.05.16
Game of Thrones;6;6;Blood of My Blood;29.05.16
Game of Thrones;6;7;The Broken Man;05.06.16
Game of Thrones;6;8;No One;12.06.16
Game of Thrones;6;9;Battle of the Bastards;19.06.16
Game of Thrones;6;10;The Winds of Winter;26.06.16